Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-07-23,3582.298095703125,6396.25,23310.75,45214.0,103.66015625,2452.780029296875,8737.2001953125,82726.640625,135368.0,45010.2890625,7850.43017578125,9061.5,24240.8203125,6358.91015625,27416.400390625,25538.0703125,14067.900390625,21020.01953125,3183.77001953125,2083677.0,56478.8984375,41171.3203125,12794.0595703125,2283.1298828125,15.369999885559082
2025-07-24,3605.72705078125,6401.5,23377.5,44899.0,103.57421875,2465.06005859375,8709.400390625,82184.171875,133808.0,44693.91015625,7818.27978515625,9138.400390625,24295.9296875,6363.35009765625,27372.30078125,25667.1796875,14256.5,21057.9609375,3190.449951171875,2135087.0,57035.8984375,41826.33984375,12805.1298828125,2252.1298828125,15.390000343322754
2025-07-25,3593.655029296875,6425.0,23421.25,45084.0,103.58984375,2450.919921875,8666.900390625,81463.09375,133524.0,44901.921875,7834.580078125,9120.2998046875,24217.5,6388.64013671875,27494.400390625,25388.349609375,14237.2998046875,21108.3203125,3196.050048828125,2197099.0,57323.140625,41456.23046875,12853.4599609375,2261.070068359375,14.930000305175781
2025-07-28,3597.93701171875,6422.75,23491.25,45012.0,103.5625,2427.22998046875,8697.7001953125,80891.0234375,132129.0,44837.55859375,7800.8798828125,9081.400390625,23970.359375,6389.77001953125,27405.400390625,25562.130859375,14220.2001953125,21178.580078125,3209.52001953125,2213570.0,57083.55859375,40998.26953125,12910.740234375,2256.72998046875,15.029999732971191
2025-07-29,3609.7109375,6406.0,23452.0,44816.0,103.65234375,2407.7900390625,8704.599609375,81337.953125,132726.0,44632.98828125,7857.35986328125,9136.2998046875,24217.369140625,6370.85986328125,27539.900390625,25524.44921875,14347.7001953125,21098.2890625,3230.570068359375,2304343.0,57820.78125,40674.55078125,12936.41015625,2242.9599609375,15.979999542236328
2025-07-30,3615.717041015625,6396.25,23480.5,44633.0,103.52734375,2399.050048828125,8756.400390625,81481.859375,133990.0,44461.28125,7861.9599609375,9136.900390625,24262.220703125,6362.89990234375,27370.0,25176.9296875,14380.599609375,21129.669921875,3254.469970703125,2306756.0,57395.8515625,40654.69921875,12855.9697265625,2232.39990234375,15.479999542236328
2025-07-31,3573.2080078125,6374.25,23365.0,44305.0,103.4921875,2372.25,8742.7998046875,81185.578125,133071.0,44130.98046875,7771.97021484375,9132.7998046875,24065.470703125,6339.39013671875,27259.80078125,24773.330078125,14397.0,21122.44921875,3245.43994140625,2319511.0,57397.9296875,41069.8203125,12823.740234375,2211.64990234375,16.719999313354492
2025-08-01,3559.951904296875,6264.5,22883.75,43710.0,103.9609375,2349.919921875,8662.0,80599.90625,132437.0,43588.578125,7546.16015625,9068.599609375,23425.970703125,6238.009765625,27020.400390625,24507.810546875,14126.7001953125,20650.130859375,3119.409912109375,2278849.0,56900.0703125,40799.6015625,12729.400390625,2166.780029296875,20.3799991607666
2025-08-04,3583.30908203125,6356.0,23296.5,44303.0,104.0,2373.889892578125,8663.7001953125,81018.71875,132971.0,44173.640625,7632.009765625,9128.2998046875,23757.689453125,6329.93994140625,,24733.44921875,14386.099609375,21053.580078125,3147.75,2287329.0,56650.26171875,40290.69921875,12684.0400390625,2212.300048828125,17.520000457763672
2025-08-05,3617.597900390625,6325.25,23132.0,44236.0,103.9296875,2377.429931640625,8770.400390625,80710.25,133151.0,44111.73828125,7621.0400390625,9142.7001953125,23846.0703125,6299.18994140625,27570.099609375,24902.529296875,14407.5,20916.55078125,3198.0,2346867.0,57071.55859375,40549.5390625,12877.0400390625,2225.669921875,17.850000381469727
