Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-06-12,3402.657958984375,6049.5,21932.5,42990.0,103.51171875,2424.31005859375,8565.099609375,81691.9765625,137800.0,42967.62109375,7765.10986328125,8884.900390625,23771.44921875,6045.259765625,26615.80078125,24035.380859375,14088.900390625,19662.490234375,2920.030029296875,2187671.0,57829.73828125,38173.08984375,12649.099609375,2140.090087890625,18.020000457763672
2025-06-13,3376.99609375,5979.25,21644.25,42207.0,103.4140625,2395.699951171875,8547.400390625,81118.6015625,137213.0,42197.7890625,7684.68017578125,8850.599609375,23516.23046875,5976.97021484375,26504.400390625,23892.560546875,13910.599609375,19406.830078125,2894.6201171875,2127156.0,57438.5703125,37834.25,12552.8701171875,2100.510009765625,20.81999969482422
2025-06-16,3388.72900390625,6035.75,21941.5,42537.0,103.41796875,2413.719970703125,8548.400390625,81796.1484375,139256.0,42515.08984375,7742.240234375,8875.2001953125,23699.119140625,6033.10986328125,26568.599609375,24060.990234375,14110.7998046875,19701.2109375,2946.659912109375,,57046.8515625,38311.328125,12690.1298828125,2124.1298828125,19.110000610351562
2025-06-17,3387.405029296875,5985.0,21730.5,42228.0,103.453125,2379.85009765625,8541.2998046875,81583.296875,138840.0,42215.80078125,7683.72998046875,8834.0,23434.650390625,5982.72021484375,26541.400390625,23980.30078125,13911.7001953125,19521.08984375,2950.300048828125,2072440.0,56676.8203125,38536.73828125,12639.349609375,2101.9599609375,21.600000381469727
2025-06-18,3388.80908203125,5981.5,21720.25,42188.0,103.421875,2367.159912109375,8531.2001953125,81444.65625,138717.0,42171.66015625,7656.1201171875,8843.5,23317.810546875,5980.8701171875,26559.900390625,23710.689453125,13923.2001953125,19546.26953125,2972.18994140625,2050983.0,56729.5703125,38885.1484375,12627.3203125,2112.9599609375,20.139999389648438
2025-06-19,3362.10791015625,,,,,2340.030029296875,8523.7001953125,81361.8671875,,,7553.4501953125,8791.7998046875,23057.380859375,,26503.30078125,23237.740234375,13744.900390625,,2977.739990234375,2064099.0,56068.16015625,38488.33984375,12569.0498046875,,
2025-06-20,3359.89501953125,6010.2099609375,21889.890625,42356.0,103.4921875,2351.97998046875,8505.5,82408.171875,137116.0,42206.8203125,7589.66015625,8774.7001953125,23350.55078125,5967.83984375,26497.599609375,23530.48046875,13850.2998046875,19447.41015625,3021.840087890625,,56264.69140625,38403.23046875,,2109.27001953125,20.6200008392334
2025-06-23,3381.58203125,6077.0,22073.5,42901.0,103.6171875,2349.340087890625,8474.900390625,81896.7890625,136551.0,42581.78125,7537.56982421875,8758.0,23269.009765625,6025.169921875,26609.400390625,23689.130859375,13839.400390625,19630.970703125,3014.469970703125,1977116.0,56080.05859375,38354.08984375,12532.650390625,2132.679931640625,19.829999923706055
2025-06-24,3420.56591796875,6146.25,22412.75,43424.0,103.68359375,2392.550048828125,8555.5,82055.109375,137165.0,43089.01953125,7615.990234375,8759.0,23641.580078125,6092.18017578125,26718.599609375,24177.0703125,14035.099609375,19912.529296875,3103.639892578125,2064590.0,56743.28125,38790.55859375,12467.48046875,2161.2099609375,17.479999542236328
2025-06-25,3455.97412109375,6147.0,22461.0,43306.0,103.72265625,2374.489990234375,8559.2001953125,82755.5078125,135767.0,42982.4296875,7558.16015625,8718.7998046875,23498.330078125,6092.16015625,26566.30078125,24474.669921875,13811.7998046875,19973.55078125,3108.25,2024393.0,56933.19140625,38942.0703125,12460.9599609375,2136.179931640625,16.760000228881836
