Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-05-23,3348.3720703125,5817.0,20975.0,41674.0,103.3203125,2354.39990234375,8360.900390625,81721.078125,137824.0,41603.0703125,7734.39990234375,8718.0,23629.580078125,5802.81982421875,25880.0,23601.259765625,14104.099609375,18737.2109375,2592.090087890625,2345902.0,58410.37109375,37160.46875,12596.5,2039.8499755859375,22.290000915527344
2025-05-26,3346.839111328125,,,,,2385.090087890625,8361.0,82176.453125,138136.0,,7828.1298828125,,24027.650390625,,26098.400390625,23282.330078125,14221.599609375,,2644.39990234375,2370800.0,58459.16015625,37531.53125,12547.2197265625,,
2025-05-27,3340.68701171875,5934.25,21460.5,42410.0,103.36328125,2383.840087890625,8407.599609375,81551.6328125,139541.0,42343.6484375,7826.7900390625,8778.099609375,24226.490234375,5921.5400390625,26269.0,23381.990234375,14239.900390625,19199.16015625,2637.219970703125,2355098.0,58593.828125,37724.109375,12582.330078125,2090.39990234375,18.959999084472656
2025-05-28,3339.931884765625,5902.75,21379.75,42170.0,103.28125,2360.5400390625,8396.900390625,81312.3203125,138888.0,42098.69921875,7788.10009765625,8726.0,24038.189453125,5888.5498046875,26283.5,23258.310546875,14100.599609375,19100.939453125,2670.14990234375,2344330.0,58735.859375,37722.3984375,12362.259765625,2067.800048828125,19.309999465942383
2025-05-29,3363.446044921875,5922.75,21408.5,42267.0,103.3671875,2365.239990234375,8409.7998046875,81633.0234375,138534.0,42215.73046875,7779.72021484375,8716.5,23933.23046875,5912.169921875,26210.599609375,23573.380859375,14116.599609375,19175.869140625,2720.639892578125,2308056.0,58614.41015625,38432.98046875,12281.3095703125,2074.780029296875,19.18000030517578
2025-05-30,3347.487060546875,5916.0,21376.75,42294.0,103.42578125,2370.530029296875,8434.7001953125,81451.0078125,137027.0,42270.0703125,7751.89013671875,8772.400390625,23997.48046875,5911.68994140625,26175.099609375,23289.76953125,14152.2001953125,19113.76953125,2697.669921875,2278992.0,57841.69140625,37965.1015625,12418.8896484375,2066.2900390625,18.56999969482422
2025-06-02,,5947.25,21534.5,42374.0,103.37109375,2384.510009765625,8414.099609375,81373.75,136787.0,42305.48046875,7737.2001953125,8774.2998046875,23930.669921875,5935.93994140625,26389.0,23157.970703125,14202.7998046875,19242.609375,2698.969970703125,2206291.0,57705.48046875,37470.671875,,2070.159912109375,18.360000610351562
2025-06-03,3361.97607421875,5981.5,21706.0,42598.0,103.3515625,2378.570068359375,8466.7001953125,80737.5078125,137546.0,42519.640625,7763.83984375,8787.0,24091.619140625,5970.3701171875,26426.599609375,23512.490234375,14128.400390625,19398.9609375,,2224638.0,57639.0703125,37446.80859375,12327.23046875,2102.97998046875,17.690000534057617
2025-06-04,3376.202880859375,5981.0,21766.5,42500.0,103.5,2399.050048828125,8541.7998046875,80998.25,137002.0,42427.73828125,7804.669921875,8801.2998046875,24276.48046875,5970.81005859375,26329.0,23654.029296875,14101.2998046875,19460.490234375,2770.840087890625,2126915.0,57484.51953125,37747.44921875,12494.7099609375,2098.47998046875,17.610000610351562
2025-06-05,3384.09912109375,5946.0,21582.25,42369.0,103.4296875,2408.14990234375,8538.900390625,81442.0390625,136236.0,42319.73828125,7790.27001953125,8811.0,24323.580078125,5939.2998046875,26342.30078125,23906.970703125,14203.7001953125,19298.44921875,2812.050048828125,2124156.0,57777.48828125,37554.48828125,12577.150390625,2097.35009765625,18.479999542236328
2025-06-06,3385.35791015625,6006.75,21789.5,42809.0,103.21875,2402.25,8515.7001953125,82188.9921875,136102.0,42762.87109375,7804.8701171875,8837.900390625,24304.4609375,6000.35986328125,26429.099609375,23792.5390625,14247.599609375,19529.94921875,,2156778.0,58061.41015625,37741.609375,12563.48046875,2132.25,16.770000457763672
2025-06-09,3399.77197265625,6010.25,21821.5,42796.0,103.3125,2403.27001953125,,82445.2109375,135699.0,42761.76171875,7791.47021484375,8832.2998046875,24174.3203125,6005.8798828125,26375.80078125,24181.4296875,14251.2998046875,19591.240234375,2855.77001953125,2111197.0,57813.37890625,38088.5703125,12539.259765625,2144.449951171875,17.15999984741211
2025-06-10,3384.81591796875,6045.0,21962.5,42911.0,103.2890625,2405.52001953125,8587.2001953125,82391.71875,136436.0,42866.87109375,7804.330078125,8853.099609375,23987.560546875,6038.81005859375,26426.30078125,24162.869140625,14221.099609375,19714.990234375,2871.85009765625,2202667.0,58098.51171875,38211.51171875,12564.419921875,2156.409912109375,16.950000762939453
2025-06-11,3402.31591796875,6029.0,21887.5,42908.0,103.4375,2411.179931640625,8592.099609375,82515.140625,137128.0,42865.76953125,7775.89990234375,8864.400390625,23948.900390625,6022.240234375,26524.19921875,24366.939453125,14134.099609375,19615.880859375,2907.0400390625,2171272.0,57767.328125,38421.19140625,12605.9296875,2148.22998046875,17.260000228881836
2025-06-12,3402.657958984375,6049.5,21932.5,42990.0,103.51171875,2424.31005859375,8565.099609375,81691.9765625,137800.0,42967.62109375,7765.10986328125,8884.900390625,23771.44921875,6045.259765625,26615.80078125,24035.380859375,14088.900390625,19662.490234375,2920.030029296875,2187671.0,57829.73828125,38173.08984375,12649.099609375,2140.090087890625,18.020000457763672
